Cleanup ID,Zone,State,Country,GPS,Cleanup Type,Cleanup Date,Group Name,Adults,Children,People,Pounds,Miles,# of bags,Cigarette butts,"Food wrappers (candy, chips, etc.)",Food containers (plastic),Food containers (foam),Bottle caps (plastic),Bottle caps (metal),Lids (plastic),Straws/stirrers (plastic),Utensils (plastic),Beverage bottles (plastic),Beverage bottles (glass),Beverage cans,Grocery bags (plastic),Other bags (plastic),Paper bags,"Cups, Plates (paper)","Cups, Plates (plastic)","Cups, Plates (foam)","Fishing buoys, pots & traps",Fishing net & pieces,"Lines, nets, traps, ropes, etc.",Fishing line (1 yard/meter = 1 piece),Fishing gear (Clean Swell),6-Pack holders,Other plastic/foam packaging,Foam dock pieces,"Other plastic bottles (oil, bleach, etc.)",Strapping bands,Other packaging (Clean Swell),Beverage sachets/pouches,"Appliances (refrigerators, washers, etc.)",Balloons,Cigar tips,Cigarette lighters,Tobacco packaging/wrap,"Tobacco products (lighters, cigar tips, wrap)",Foam packaging,Construction materials,Fireworks,Tires,Toys,Other trash (Clean Swell),Clothing,"Electronic waste (phones, batteries)",Condoms,Diapers,Syringes,Footwear (shoes/slippers),Tampons & applicators,Personal hygiene (Clean Swell),Gloves & masks (PPE),Foam pieces,Glass pieces,Plastic pieces,Plastic/foam pieces,Other plastic waste,Cotton bud sticks (swabs),Total Items Collected
251448,"San Mateo County, CA, USA","California, USA",United States,"37.595098542522, -122.50605997303",beach,11/11/2022,PBC,1,0,1,7.5,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
251851,"San Mateo County, CA, USA","California, USA",United States,"37.59553316853, -122.476131584",beach,11/14/2022,Coastal Clean Up,15,0,15,22.5,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
251840,"San Mateo County, CA, USA","California, USA",United States,"37.595587320901, -122.47738394775",beach,11/14/2022,Pacific Beach Coalition TN APES,3,0,3,1.186,4.0,0,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4030
251850,"San Mateo County, CA, USA","California, USA",United States,"37.595754103636, -122.47655725557",beach,11/14/2022,Pacific Beach Coalition TN APES,2,0,2,1.1,1.4,0,0,8,0,0,3,0,2,3,0,3,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,28
251806,"San Mateo County, CA, USA","California, USA",United States,"37.595976432526, -122.51112039826",beach,11/13/2022,,2,0,2,4.435,0.004147,0,3,4,0,0,1,1,1,3,0,0,1,3,0,3,0,0,3,0,0,0,0,0,0,1,0,0,0,6,0,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,2,0,81
251059,"San Mateo County, CA, USA","California, USA",United States,"37.596032732684, -122.50555839466",beach,11/5/2022,beach bums,2,0,2,1.1,0.5,0,0,0,0,0,3,2,0,1,1,3,1,1,5,3,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37
250909,"San Mateo County, CA, USA","California, USA",United States,"37.59824212, -122.50205694",beach,11/4/2022,Pacific Beach Coalition - Terri Brown,1,0,1,26.1,3.226239,0,0,4,1,0,5,4,3,2,2,2,1,2,0,13,0,0,2,6,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,2,0,135
252962,"San Mateo County, CA, USA","California, USA",United States,"37.60380395627, -122.4989273672",beach,11/30/2022,Pacific Beach Coalition - Terri Brown,1,0,1,8.927,3.754928,0,175,8,0,2,2,3,5,7,4,2,1,0,1,12,0,2,2,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,7,0,2,300
251695,"San Mateo County, CA, USA","California, USA",United States,"37.6044189, -122.4877642",beach,11/12/2022,,2,0,2,15.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
251696,"San Mateo County, CA, USA","California, USA",United States,"37.6324357, -122.494697",beach,11/12/2022,,2,0,2,2.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
